Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
WOODLAND MEMORIAL HOSPITAL,50127,CA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
WOODLAND MEMORIAL HOSPITAL,50127,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
WOODLAND MEMORIAL HOSPITAL,50127,CA,READM-30-COPD-HRRP,80,,1.0553,22.8237,21.6272,22,1-Jul-12,30-Jun-15
WOODLAND MEMORIAL HOSPITAL,50127,CA,READM-30-HF-HRRP,Not Available,,0.9549,18.5485,19.4246,Too Few to Report,1-Jul-12,30-Jun-15
WOODLAND MEMORIAL HOSPITAL,50127,CA,READM-30-HIP-KNEE-HRRP,Not Available,,0.8482,3.4088,4.019,Too Few to Report,1-Jul-12,30-Jun-15
WOODLAND MEMORIAL HOSPITAL,50127,CA,READM-30-PN-HRRP,95,,0.9434,14.6588,15.5387,11,1-Jul-12,30-Jun-15
TRI-CITY MEDICAL CENTER,50128,CA,READM-30-AMI-HRRP,247,,0.8835,13.8072,15.6283,27,1-Jul-12,30-Jun-15
TRI-CITY MEDICAL CENTER,50128,CA,READM-30-CABG-HRRP,Not Available,,1.0172,13.5601,13.3305,Too Few to Report,1-Jul-12,30-Jun-15
TRI-CITY MEDICAL CENTER,50128,CA,READM-30-COPD-HRRP,328,,1.0088,18.4228,18.2622,61,1-Jul-12,30-Jun-15
TRI-CITY MEDICAL CENTER,50128,CA,READM-30-HF-HRRP,380,,0.9038,18.1662,20.1007,63,1-Jul-12,30-Jun-15
TRI-CITY MEDICAL CENTER,50128,CA,READM-30-HIP-KNEE-HRRP,292,,1.1037,5.4955,4.979,18,1-Jul-12,30-Jun-15
TRI-CITY MEDICAL CENTER,50128,CA,READM-30-PN-HRRP,621,,0.9687,15.5584,16.0617,95,1-Jul-12,30-Jun-15
ST BERNARDINE MEDICAL CENTER,50129,CA,READM-30-AMI-HRRP,253,,1.0525,18.5435,17.6192,50,1-Jul-12,30-Jun-15
ST BERNARDINE MEDICAL CENTER,50129,CA,READM-30-CABG-HRRP,104,,1.0525,15.5459,14.7705,18,1-Jul-12,30-Jun-15
ST BERNARDINE MEDICAL CENTER,50129,CA,READM-30-COPD-HRRP,165,,1.0029,20.4862,20.4264,34,1-Jul-12,30-Jun-15
ST BERNARDINE MEDICAL CENTER,50129,CA,READM-30-HF-HRRP,203,,1.036,21.5949,20.8445,46,1-Jul-12,30-Jun-15
ST BERNARDINE MEDICAL CENTER,50129,CA,READM-30-HIP-KNEE-HRRP,265,,1.0361,5.3961,5.2079,15,1-Jul-12,30-Jun-15
ST BERNARDINE MEDICAL CENTER,50129,CA,READM-30-PN-HRRP,287,,0.8762,17.4422,19.9068,43,1-Jul-12,30-Jun-15
NOVATO COMMUNITY HOSPITAL,50131,CA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
NOVATO COMMUNITY HOSPITAL,50131,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
NOVATO COMMUNITY HOSPITAL,50131,CA,READM-30-COPD-HRRP,Not Available,,0.9664,17.3003,17.902,Too Few to Report,1-Jul-12,30-Jun-15
NOVATO COMMUNITY HOSPITAL,50131,CA,READM-30-HF-HRRP,142,,1.0328,21.1528,20.482,32,1-Jul-12,30-Jun-15
NOVATO COMMUNITY HOSPITAL,50131,CA,READM-30-HIP-KNEE-HRRP,Not Available,,0.9637,3.9762,4.1261,Too Few to Report,1-Jul-12,30-Jun-15
NOVATO COMMUNITY HOSPITAL,50131,CA,READM-30-PN-HRRP,247,,0.9276,15.313,16.5078,34,1-Jul-12,30-Jun-15
SAN GABRIEL VALLEY MEDICAL CENTER,50132,CA,READM-30-AMI-HRRP,Not Available,,0.9616,22.1369,23.0212,Too Few to Report,1-Jul-12,30-Jun-15
SAN GABRIEL VALLEY MEDICAL CENTER,50132,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
SAN GABRIEL VALLEY MEDICAL CENTER,50132,CA,READM-30-COPD-HRRP,187,,0.8994,19.9218,22.1493,30,1-Jul-12,30-Jun-15
SAN GABRIEL VALLEY MEDICAL CENTER,50132,CA,READM-30-HF-HRRP,317,,1.1586,27.8648,24.0514,98,1-Jul-12,30-Jun-15
SAN GABRIEL VALLEY MEDICAL CENTER,50132,CA,READM-30-HIP-KNEE-HRRP,Not Available,,0.9325,5.9677,6.3994,Too Few to Report,1-Jul-12,30-Jun-15
SAN GABRIEL VALLEY MEDICAL CENTER,50132,CA,READM-30-PN-HRRP,605,,1.059,21.7919,20.5775,135,1-Jul-12,30-Jun-15
RIDEOUT MEMORIAL HOSPITAL,50133,CA,READM-30-AMI-HRRP,312,,1.1438,19.829,17.3354,70,1-Jul-12,30-Jun-15
RIDEOUT MEMORIAL HOSPITAL,50133,CA,READM-30-CABG-HRRP,99,,1.1555,16.9344,14.655,22,1-Jul-12,30-Jun-15
RIDEOUT MEMORIAL HOSPITAL,50133,CA,READM-30-COPD-HRRP,623,,1.0501,22.2516,21.1901,142,1-Jul-12,30-Jun-15
RIDEOUT MEMORIAL HOSPITAL,50133,CA,READM-30-HF-HRRP,633,,1.0301,23.087,22.4131,148,1-Jul-12,30-Jun-15
RIDEOUT MEMORIAL HOSPITAL,50133,CA,READM-30-HIP-KNEE-HRRP,Not Available,,0.932,5.7709,6.1917,Too Few to Report,1-Jul-12,30-Jun-15
RIDEOUT MEMORIAL HOSPITAL,50133,CA,READM-30-PN-HRRP,885,,1.0036,17.8316,17.7668,158,1-Jul-12,30-Jun-15
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,READM-30-AMI-HRRP,87,,1.0117,23.2703,23.0021,21,1-Jul-12,30-Jun-15
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,READM-30-COPD-HRRP,322,,1.0094,22.7773,22.5649,74,1-Jul-12,30-Jun-15
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,READM-30-HF-HRRP,189,,1.1051,27.7027,25.068,59,1-Jul-12,30-Jun-15
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,READM-30-PN-HRRP,602,,1.095,24.0596,21.9722,150,1-Jul-12,30-Jun-15
PETALUMA VALLEY HOSPITAL,50136,CA,READM-30-AMI-HRRP,Not Available,,0.9425,18.914,20.0676,Too Few to Report,1-Jul-12,30-Jun-15
PETALUMA VALLEY HOSPITAL,50136,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
PETALUMA VALLEY HOSPITAL,50136,CA,READM-30-COPD-HRRP,114,,0.9418,19.3076,20.5014,18,1-Jul-12,30-Jun-15
PETALUMA VALLEY HOSPITAL,50136,CA,READM-30-HF-HRRP,157,,0.9229,20.321,22.0185,27,1-Jul-12,30-Jun-15
PETALUMA VALLEY HOSPITAL,50136,CA,READM-30-HIP-KNEE-HRRP,Not Available,,0.8536,4.122,4.8292,Too Few to Report,1-Jul-12,30-Jun-15
PETALUMA VALLEY HOSPITAL,50136,CA,READM-30-PN-HRRP,243,,0.8677,13.61,15.686,26,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,50137,CA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,50137,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,50137,CA,READM-30-COPD-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,50137,CA,READM-30-HF-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,50137,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,50137,CA,READM-30-PN-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,CA,READM-30-AMI-HRRP,Not Available,,0.9531,16.634,17.4521,Too Few to Report,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,CA,READM-30-CABG-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,CA,READM-30-COPD-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,CA,READM-30-HF-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,CA,READM-30-PN-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-COPD-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-HF-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-PN-HRRP,Not Available,,1.0374,18.1172,17.464,Too Few to Report,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL FONTANA,50140,CA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL FONTANA,50140,CA,READM-30-CABG-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL FONTANA,50140,CA,READM-30-COPD-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL FONTANA,50140,CA,READM-30-HF-HRRP,45,,1.0466,22.6215,21.6152,13,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL FONTANA,50140,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
KAISER FOUNDATION HOSPITAL FONTANA,50140,CA,READM-30-PN-HRRP,46,,1.0971,17.8726,16.2914,13,1-Jul-12,30-Jun-15
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,50145,CA,READM-30-AMI-HRRP,194,,0.9221,15.321,16.6157,25,1-Jul-12,30-Jun-15
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,50145,CA,READM-30-CABG-HRRP,114,,1.015,13.5821,13.3813,16,1-Jul-12,30-Jun-15
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,50145,CA,READM-30-COPD-HRRP,311,,0.9122,17.0239,18.6623,47,1-Jul-12,30-Jun-15
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,50145,CA,READM-30-HF-HRRP,466,,0.8493,17.3126,20.3847,71,1-Jul-12,30-Jun-15
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,50145,CA,READM-30-HIP-KNEE-HRRP,784,,0.9226,4.1536,4.502,31,1-Jul-12,30-Jun-15
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,50145,CA,READM-30-PN-HRRP,920,,0.8179,12.6017,15.4069,106,1-Jul-12,30-Jun-15
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,CA,READM-30-AMI-HRRP,Not Available,,1.0565,19.4633,18.4232,Too Few to Report,1-Jul-12,30-Jun-15
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,CA,READM-30-CABG-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,CA,READM-30-COPD-HRRP,68,,1.063,23.066,21.6996,20,1-Jul-12,30-Jun-15
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,CA,READM-30-HF-HRRP,137,,1.1082,25.8194,23.2994,42,1-Jul-12,30-Jun-15
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,CA,READM-30-PN-HRRP,79,,1.0386,17.7274,17.0682,16,1-Jul-12,30-Jun-15
SIERRA NEVADA MEMORIAL HOSPITAL,50150,CA,READM-30-AMI-HRRP,60,,1.0035,17.9862,17.9236,11,1-Jul-12,30-Jun-15
SIERRA NEVADA MEMORIAL HOSPITAL,50150,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
SIERRA NEVADA MEMORIAL HOSPITAL,50150,CA,READM-30-COPD-HRRP,304,,1.0163,19.3862,19.076,60,1-Jul-12,30-Jun-15
SIERRA NEVADA MEMORIAL HOSPITAL,50150,CA,READM-30-HF-HRRP,268,,0.9732,20.3923,20.9534,53,1-Jul-12,30-Jun-15
SIERRA NEVADA MEMORIAL HOSPITAL,50150,CA,READM-30-HIP-KNEE-HRRP,Not Available,,0.9887,4.1939,4.2419,Too Few to Report,1-Jul-12,30-Jun-15
SIERRA NEVADA MEMORIAL HOSPITAL,50150,CA,READM-30-PN-HRRP,591,,1.0553,16.6261,15.7552,101,1-Jul-12,30-Jun-15
SAINT FRANCIS MEMORIAL HOSPITAL,50152,CA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
SAINT FRANCIS MEMORIAL HOSPITAL,50152,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
SAINT FRANCIS MEMORIAL HOSPITAL,50152,CA,READM-30-COPD-HRRP,194,,1.066,20.484,19.2151,44,1-Jul-12,30-Jun-15
SAINT FRANCIS MEMORIAL HOSPITAL,50152,CA,READM-30-HF-HRRP,128,,1.0508,21.845,20.7898,31,1-Jul-12,30-Jun-15
SAINT FRANCIS MEMORIAL HOSPITAL,50152,CA,READM-30-HIP-KNEE-HRRP,297,,0.9769,3.8551,3.9462,11,1-Jul-12,30-Jun-15
SAINT FRANCIS MEMORIAL HOSPITAL,50152,CA,READM-30-PN-HRRP,306,,1.0935,17.1288,15.6645,57,1-Jul-12,30-Jun-15
O'CONNOR HOSPITAL,50153,CA,READM-30-AMI-HRRP,188,,0.9382,15.2631,16.2694,25,1-Jul-12,30-Jun-15
O'CONNOR HOSPITAL,50153,CA,READM-30-CABG-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
O'CONNOR HOSPITAL,50153,CA,READM-30-COPD-HRRP,218,,1.0516,21.3785,20.3297,50,1-Jul-12,30-Jun-15
O'CONNOR HOSPITAL,50153,CA,READM-30-HF-HRRP,458,,1.0526,22.6678,21.5343,107,1-Jul-12,30-Jun-15
O'CONNOR HOSPITAL,50153,CA,READM-30-HIP-KNEE-HRRP,Not Available,,0.794,3.6395,4.5838,Too Few to Report,1-Jul-12,30-Jun-15
O'CONNOR HOSPITAL,50153,CA,READM-30-PN-HRRP,631,,1.084,17.0959,15.7707,112,1-Jul-12,30-Jun-15
ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-AMI-HRRP,Not Available,,0.9859,24.2701,24.617,Too Few to Report,1-Jul-12,30-Jun-15
ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-COPD-HRRP,Not Available,,0.9687,21.6656,22.3665,Too Few to Report,1-Jul-12,30-Jun-15
ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-HF-HRRP,158,,0.9806,23.572,24.039,36,1-Jul-12,30-Jun-15
ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-PN-HRRP,191,,1.175,21.639,18.4165,50,1-Jul-12,30-Jun-15
VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-COPD-HRRP,63,,1.0081,18.2154,18.0692,12,1-Jul-12,30-Jun-15
VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-HF-HRRP,91,,1.0239,22.5607,22.0337,22,1-Jul-12,30-Jun-15
VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-HIP-KNEE-HRRP,Not Available,,0.9898,3.7867,3.8257,Too Few to Report,1-Jul-12,30-Jun-15
VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-PN-HRRP,131,,0.9523,14.8451,15.5883,17,1-Jul-12,30-Jun-15
SAN JOAQUIN GENERAL HOSPITAL,50167,CA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
SAN JOAQUIN GENERAL HOSPITAL,50167,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
SAN JOAQUIN GENERAL HOSPITAL,50167,CA,READM-30-COPD-HRRP,Not Available,,1.0248,19.8787,19.3982,Too Few to Report,1-Jul-12,30-Jun-15
SAN JOAQUIN GENERAL HOSPITAL,50167,CA,READM-30-HF-HRRP,63,,0.9853,20.4695,20.7758,12,1-Jul-12,30-Jun-15
SAN JOAQUIN GENERAL HOSPITAL,50167,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
SAN JOAQUIN GENERAL HOSPITAL,50167,CA,READM-30-PN-HRRP,83,,1.029,17.4881,16.9949,16,1-Jul-12,30-Jun-15
ST JUDE MEDICAL CENTER,50168,CA,READM-30-AMI-HRRP,274,,1.0237,17.0138,16.6191,48,1-Jul-12,30-Jun-15
ST JUDE MEDICAL CENTER,50168,CA,READM-30-CABG-HRRP,Not Available,,0.8823,10.3657,11.7486,Too Few to Report,1-Jul-12,30-Jun-15
ST JUDE MEDICAL CENTER,50168,CA,READM-30-COPD-HRRP,280,,0.9826,20.0638,20.4184,55,1-Jul-12,30-Jun-15
ST JUDE MEDICAL CENTER,50168,CA,READM-30-HF-HRRP,435,,0.9999,21.3804,21.3821,93,1-Jul-12,30-Jun-15
ST JUDE MEDICAL CENTER,50168,CA,READM-30-HIP-KNEE-HRRP,382,,0.8544,3.939,4.6102,12,1-Jul-12,30-Jun-15
ST JUDE MEDICAL CENTER,50168,CA,READM-30-PN-HRRP,768,,0.8712,15.3772,17.6496,111,1-Jul-12,30-Jun-15
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,50169,CA,READM-30-AMI-HRRP,316,,0.994,19.1038,19.2184,60,1-Jul-12,30-Jun-15
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,50169,CA,READM-30-CABG-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,50169,CA,READM-30-COPD-HRRP,220,,1.0183,22.1571,21.7585,50,1-Jul-12,30-Jun-15
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,50169,CA,READM-30-HF-HRRP,465,,1.0122,23.2755,22.994,109,1-Jul-12,30-Jun-15
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,50169,CA,READM-30-HIP-KNEE-HRRP,231,,0.9943,4.8105,4.8382,11,1-Jul-12,30-Jun-15
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,50169,CA,READM-30-PN-HRRP,572,,0.957,17.7127,18.5085,99,1-Jul-12,30-Jun-15
SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-AMI-HRRP,366,,0.8751,13.5508,15.4845,42,1-Jul-12,30-Jun-15
SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-CABG-HRRP,Not Available,,0.9166,12.0822,13.182,Too Few to Report,1-Jul-12,30-Jun-15
SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-COPD-HRRP,292,,0.9189,19.066,20.7496,50,1-Jul-12,30-Jun-15
SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-HF-HRRP,500,,0.9195,19.2134,20.8947,91,1-Jul-12,30-Jun-15
SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-HIP-KNEE-HRRP,855,,0.7782,3.4927,4.488,25,1-Jul-12,30-Jun-15
SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-PN-HRRP,652,,0.8302,13.5526,16.3255,79,1-Jul-12,30-Jun-15
EMANUEL MEDICAL CENTER,50179,CA,READM-30-AMI-HRRP,366,,1.0582,17.9352,16.9485,69,1-Jul-12,30-Jun-15
EMANUEL MEDICAL CENTER,50179,CA,READM-30-CABG-HRRP,Not Available,,1.0962,14.9992,13.6831,Too Few to Report,1-Jul-12,30-Jun-15
EMANUEL MEDICAL CENTER,50179,CA,READM-30-COPD-HRRP,294,,1.0632,21.3698,20.099,67,1-Jul-12,30-Jun-15
EMANUEL MEDICAL CENTER,50179,CA,READM-30-HF-HRRP,409,,1.0687,22.7122,21.2516,97,1-Jul-12,30-Jun-15
EMANUEL MEDICAL CENTER,50179,CA,READM-30-HIP-KNEE-HRRP,Not Available,,1.1366,5.546,4.8794,Too Few to Report,1-Jul-12,30-Jun-15
EMANUEL MEDICAL CENTER,50179,CA,READM-30-PN-HRRP,620,,1.0441,16.9003,16.1862,107,1-Jul-12,30-Jun-15
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,50180,CA,READM-30-AMI-HRRP,156,,1.0209,19.0665,18.676,31,1-Jul-12,30-Jun-15
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,50180,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,50180,CA,READM-30-COPD-HRRP,362,,1.0251,21.9052,21.369,81,1-Jul-12,30-Jun-15
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,50180,CA,READM-30-HF-HRRP,654,,0.8936,19.0827,21.3551,118,1-Jul-12,30-Jun-15
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,50180,CA,READM-30-HIP-KNEE-HRRP,1074,,0.8372,3.7657,4.4981,37,1-Jul-12,30-Jun-15
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,50180,CA,READM-30-PN-HRRP,744,,1.041,17.1946,16.5168,130,1-Jul-12,30-Jun-15
GEORGE L MEE MEMORIAL HOSPITAL,50189,CA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
GEORGE L MEE MEMORIAL HOSPITAL,50189,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
GEORGE L MEE MEMORIAL HOSPITAL,50189,CA,READM-30-COPD-HRRP,Not Available,,1.0183,17.1079,16.8009,Too Few to Report,1-Jul-12,30-Jun-15
GEORGE L MEE MEMORIAL HOSPITAL,50189,CA,READM-30-HF-HRRP,Not Available,,0.9947,17.6876,17.7815,Too Few to Report,1-Jul-12,30-Jun-15
GEORGE L MEE MEMORIAL HOSPITAL,50189,CA,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
GEORGE L MEE MEMORIAL HOSPITAL,50189,CA,READM-30-PN-HRRP,Not Available,,0.9108,12.906,14.1695,Too Few to Report,1-Jul-12,30-Jun-15
ST MARY MEDICAL CENTER,50191,CA,READM-30-AMI-HRRP,89,,1.044,20.5975,19.7294,21,1-Jul-12,30-Jun-15
ST MARY MEDICAL CENTER,50191,CA,READM-30-CABG-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
ST MARY MEDICAL CENTER,50191,CA,READM-30-COPD-HRRP,151,,1.0727,24.5162,22.8554,42,1-Jul-12,30-Jun-15
ST MARY MEDICAL CENTER,50191,CA,READM-30-HF-HRRP,142,,1.0308,24.6919,23.954,37,1-Jul-12,30-Jun-15
ST MARY MEDICAL CENTER,50191,CA,READM-30-HIP-KNEE-HRRP,Not Available,,1.1132,6.5019,5.8409,Too Few to Report,1-Jul-12,30-Jun-15
ST MARY MEDICAL CENTER,50191,CA,READM-30-PN-HRRP,245,,0.9455,19.6124,20.7435,45,1-Jul-12,30-Jun-15
ADVENTIST MEDICAL CENTER - REEDLEY,50192,CA,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
ADVENTIST MEDICAL CENTER - REEDLEY,50192,CA,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
ADVENTIST MEDICAL CENTER - REEDLEY,50192,CA,READM-30-COPD-HRRP,Not Available,,1.0019,16.786,16.7548,Too Few to Report,1-Jul-12,30-Jun-15
ADVENTIST MEDICAL CENTER - REEDLEY,50192,CA,READM-30-HF-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
